"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 101756","Run1","Saline",-0.151196854003564,-0.152754757566379,-0.152131596141253
"CN 101799","Run1","Saline",0.32295168587332,-0.472707308366319,-0.154443710670463
"CN 101833","Run1","Saline",0.0132178751707244,-0.266338085447534,-0.15451570120023
"CN 101742","Run1","Saline",0.0416985901716002,-0.2869768248651,-0.15550665885042
"CN 101856","Run1","Saline",-0.264132084868327,-0.0839997755802677,-0.156052699295491
"CN 101723","Run1","Saline",-0.32765598947566,-0.0427336228403515,-0.156702569494475
"CN 101770","Run1","Saline",-0.199602534564449,-0.134775047244448,-0.160706042172449
"CN 105228","Run1","Saline",-0.133392993629141,-0.200859402428906,-0.173872838909
"CN 101855","Run1","Saline",0.0141924044348915,-0.305573932355882,-0.177667397639572
"CN 101708","Run1","Saline",0.10385840622253,-0.368124134717773,-0.179331118341652
"CN 101821","Run1","Saline",-0.0474397511232817,-0.267662852572684,-0.179573611992923
"CN 105232","Run1","Saline",-0.0830609982230983,-0.245041761337356,-0.180249456091653
"CN 105191","Run1","Saline",-0.0194740847487598,-0.294987504655085,-0.184782136692555
"CN 105278","Run1","Saline",-0.328076776530049,-0.0910471271676823,-0.185858986912629
"CN 40218","Run1","Saline",-0.1877622477253,-0.186508400303746,-0.187009939272368
"CN 101759","Run1","Saline",-0.216435839612858,-0.172787485407806,-0.190246827089827
"CN 105267","Run1","Saline",0.0565896416709918,-0.361941623513623,-0.194529117439777
"CN 30462","Run1","Saline",NA,-0.194533623328119,-0.194533623328119
"CN 105216","Run1","Saline",-0.0383705288701733,-0.311643402691257,-0.202334253162823
"CN 101826","Run1","Saline",0.0901944124219173,-0.39933833946382,-0.203525238709525
"CN 105280","Run1","Saline",0.0134945046059457,-0.356467167636736,-0.208482498739664
"CN 101728","Run1","Saline",0.0886263019088186,-0.409228957449962,-0.21008685370645
"CN 101792","Run1","Saline",-0.139135626624169,-0.261483161475629,-0.212544147535045
"CN 105245","Run1","Saline",0.197409962774666,-0.492201193158286,-0.216356730785105
"CN 105196","Run1","Saline",-0.348874327605555,-0.13391059475319,-0.219896087894136
"CN 105203","Run1","Saline",-0.263351277182965,-0.196589461628316,-0.223294187850176
"CN 105249","Run1","Saline",-0.406993658594002,-0.10758259747472,-0.227347021922433
"CN 101746","Run1","Saline",-0.107469426433963,-0.307877587500886,-0.227714323074117
"CN 34007","Run1","Saline",NA,-0.229881378066928,-0.229881378066928
"CN 105235","Run1","Saline",0.0709631434269785,-0.431611696094355,-0.230581760285822
"CN 101713","Run1","Saline",-0.172875782291007,-0.270387142752065,-0.231382598567642
"CN 33060","Run1","Saline",NA,-0.231386376556156,-0.231386376556156
"CN 101733","Run1","Saline",-0.345834885987816,-0.162235522120601,-0.235675267667487
